mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
10/12/2017,7:07,3.52,29.749,3.979,0.999,,,,,,
10/12/2017,7:17,3.52,29.654,3.852,1,,,,,,
10/12/2017,7:27,3.52,29.697,3.956,1,,,,,,
10/12/2017,7:37,3.52,29.939,3.94,1,,,,,,
10/12/2017,7:47,3.52,29.948,3.797,1,,,,,,
10/12/2017,7:57,3.52,29.982,3.759,1,,,,,,
10/12/2017,8:07,3.52,29.62,3.447,1.001,,,,,,
10/12/2017,8:17,3.52,29.603,3.556,1,,,,,,
10/12/2017,8:27,3.52,29.706,3.707,1,,,,,,
10/12/2017,8:37,3.52,29.766,3.694,1,,,,,,
10/12/2017,8:47,3.52,29.93,3.639,1,,,,,,
10/12/2017,8:57,3.52,30.043,3.457,1,,,,,,
10/12/2017,9:07,3.52,29.809,3.609,1,,,,,,
10/12/2017,9:17,3.52,29.74,3.57,1.001,,,,,,
10/12/2017,9:27,3.52,29.697,3.644,1,,,,,,
10/12/2017,9:37,3.52,29.775,3.54,1,,,,,,
10/12/2017,9:47,3.52,29.801,3.53,1,,,,,,
10/12/2017,9:57,3.52,29.766,3.503,1,,,,,,
10/12/2017,10:07,3.52,29.758,3.713,0.999,,,,,,
10/12/2017,10:17,3.52,29.766,3.674,0.999,,,,,,
10/12/2017,10:27,3.52,29.74,3.726,1,,,,,,
10/12/2017,10:37,3.52,29.715,3.777,0.999,,,,,,
10/12/2017,10:47,3.52,29.732,3.899,1,,,,,,
10/12/2017,10:57,3.52,29.706,3.85,0.999,,,,,,
10/12/2017,11:07,3.52,29.732,3.928,1,,,,,,
10/12/2017,11:17,3.52,29.723,3.964,1,,,,,,
10/12/2017,11:27,3.52,29.723,3.837,1,,,,,,
10/12/2017,11:37,3.52,29.723,3.642,1,,,,,,
10/12/2017,11:47,3.52,29.689,3.71,1,,,,,,
10/12/2017,11:57,3.52,29.646,3.67,1,,,,,,
10/12/2017,12:07,3.52,29.611,3.627,0.999,,,,,,
