mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,arduino_date,arduino_time,arduino_Conduct,arduino_T,,
09/12/2017,3:37,3.52,28.803,3.507,1,,08/12/2017,05:55,0.79,28.51,,
09/12/2017,3:47,3.52,28.821,3.644,1.001,,08/12/2017,06:00,1.19,28.51,,
09/12/2017,3:57,3.52,28.846,3.446,1.001,,08/12/2017,06:05,0.82,28.51,,
09/12/2017,4:07,3.52,28.906,3.413,1,,08/12/2017,06:10,0.84,28.41,,
09/12/2017,4:17,3.52,28.906,3.425,1.001,,08/12/2017,06:15,0.61,29.24,,
09/12/2017,4:27,3.52,28.915,3.325,1.001,,08/12/2017,06:20,0.64,29.52,,
09/12/2017,4:37,3.52,28.932,3.417,1,,08/12/2017,06:25,0.74,29.52,,
09/12/2017,4:47,3.52,28.915,3.384,1,,08/12/2017,06:30,0.8,29.24,,
09/12/2017,4:57,3.52,28.915,3.385,0.999,,08/12/2017,06:35,0.82,29.33,,
09/12/2017,5:07,3.52,29.069,3.371,1.001,,08/12/2017,06:40,0.79,29.15,,
09/12/2017,5:17,3.52,28.932,3.275,1.001,,08/12/2017,06:45,0.74,29.15,,
09/12/2017,5:27,3.52,29.379,3.631,1.001,,08/12/2017,06:50,0.81,29.24,,
09/12/2017,5:37,3.52,29.241,3.513,1.001,,08/12/2017,06:55,0.82,29.15,,
